City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bambous virieux,-20.3428,57.7575,24.14,83,40,7.2,MU,1685295264
84,sao joao da barra,-21.6403,-41.0511,30.05,40,3,3.08,BR,1685295265
85,santa cruz,-17.8,-63.1667,19.03,72,75,7.72,BO,1685295008
86,alyangula,-13.8483,136.4192,21.85,60,82,5.65,AU,1685295265
87,yellowknife,62.456,-114.3525,17.29,36,75,4.12,CA,1685295265
88,nara,34.6851,135.8049,21.62,82,99,0.29,JP,1685295265
89,avera,33.194,-82.5271,16.88,80,100,4.26,US,1685295265
90,puerto carreno,6.189,-67.4859,29.99,70,40,2.57,CO,1685295265
91,san patricio,28.017,-97.5169,28.28,48,95,4.4,US,1685295265
92,pabrade,55.0,25.7833,13.31,63,12,1.69,LT,1685295265
93,the valley,18.217,-63.0578,30.92,65,40,7.2,AI,1685295265
94,corinto,37.9407,22.9573,23.27,64,8,2.06,GR,1685295265
95,chuy,-33.6971,-53.4616,14.15,50,87,3.42,UY,1685295266
96,vicente guerrero,19.1194,-98.1708,21.66,54,30,4.21,MX,1685295266
97,korla,41.7597,86.1469,17.76,51,79,1.18,CN,1685295266
98,orcopampa,-15.2661,-72.3417,14.22,45,100,1.13,PE,1685295266
99,khatanga,71.9667,102.5,6.25,63,79,4.58,RU,1685295266
100,hilo,19.7297,-155.09,24.04,81,75,2.57,US,1685295201
101,ust-nera,64.5667,143.2,5.98,57,86,1.22,RU,1685295266
102,port elizabeth,-33.918,25.5701,17.4,89,0,4.02,ZA,1685294700
103,antalaha,-14.9003,50.2788,22.8,85,0,3.51,MG,1685295266
104,havre-saint-pierre,50.2334,-63.5986,22.2,37,0,8.23,CA,1685295266
105,margate,51.3813,1.3862,14.27,79,99,6.26,GB,1685295266
106,caravelas,-17.7125,-39.2481,26.3,65,9,3.3,BR,1685295266
107,mareeba,-17.0,145.4333,16.4,89,94,1.04,AU,1685295266
108,aden,12.7794,45.0367,31.63,66,22,5.63,YE,1685295267
109,atuona,-9.8,-139.0333,27.44,76,26,8.5,PF,1685295267
110,saskylakh,71.9167,114.0833,5.06,82,13,2.77,RU,1685295267
111,cockburn town,21.4612,-71.1419,27.77,80,80,6.3,TC,1685295267
112,krasnoselkup,65.7,82.4667,14.48,52,58,8.96,RU,1685295267
113,victoria,22.2855,114.1577,28.51,73,0,1.79,HK,1685295211
114,zhezkazgan,47.8043,67.7144,17.83,21,85,3.93,KZ,1685295267
115,yulara,-25.2406,130.9889,8.47,49,7,2.78,AU,1685295267
116,dalby,-27.1833,151.2667,7.35,69,68,3.81,AU,1685295267
117,ribeira grande,38.5167,-28.7,19.22,72,40,5.66,PT,1685295267
118,tuktoyaktuk,69.4541,-133.0374,2.0,64,75,5.14,CA,1685295267
119,los llanos de aridane,28.6585,-17.9182,20.86,81,75,3.13,ES,1685295268
120,peniche,39.3558,-9.3811,20.6,79,97,3.27,PT,1685295268
121,hermanus,-34.4187,19.2345,13.78,80,16,6.66,ZA,1685294971
122,ponta do sol,32.6667,-17.1,22.35,64,56,2.67,PT,1685295268
123,atemar,54.181,45.4091,12.92,83,35,2.46,RU,1685295268
124,aklavik,68.2191,-135.0107,-1.0,93,100,2.57,CA,1685295268
125,khash,28.2211,61.2158,27.42,25,61,1.44,IR,1685295268
126,oranjemund,-28.55,16.4333,11.65,82,0,2.33,NA,1685295268
127,kahului,20.8947,-156.47,25.47,73,20,5.81,US,1685295268
128,george,-33.963,22.4617,11.75,94,40,2.06,ZA,1685295176
129,qaanaaq,77.484,-69.3632,-4.61,64,34,4.39,GL,1685295269
130,kushmurun,52.4503,64.6311,21.45,43,98,2.11,KZ,1685295269
131,morondava,-20.2833,44.2833,24.79,74,3,4.88,MG,1685295269
132,ancud,-41.8697,-73.8203,7.01,71,92,2.21,CL,1685295269
133,kralendijk,12.15,-68.2667,31.99,66,75,9.26,BQ,1685295269
134,cabo san lucas,22.8909,-109.9124,31.45,47,0,4.12,MX,1685295269
135,mandera,3.9366,41.867,28.57,54,100,7.77,KE,1685295269
136,chifeng,42.2683,118.9636,16.71,78,100,1.62,CN,1685295269
137,kuryk,43.2,51.65,19.15,73,1,2.63,KZ,1685295269
138,waipawa,-41.4122,175.5153,9.91,84,77,3.67,NZ,1685295270
139,nanortalik,60.1432,-45.2371,3.02,93,98,3.04,GL,1685295270
140,joao pessoa,-7.115,-34.8631,31.13,58,40,5.14,BR,1685295185
141,deputatskiy,69.3,139.9,1.53,95,100,3.12,RU,1685295204
142,wanning,18.8003,110.3967,26.62,87,5,1.18,CN,1685295270
143,esperance,-33.8667,121.9,12.98,81,2,3.58,AU,1685295270
144,kaitangata,-46.2817,169.8464,9.98,80,99,1.54,NZ,1685295270
145,cayenne,4.9333,-52.3333,28.02,78,75,2.06,GF,1685295270
146,richards bay,-28.783,32.0377,23.11,58,3,4.79,ZA,1685295270
147,champerico,14.3,-91.9167,32.3,60,81,2.12,GT,1685295270
148,comodoro rivadavia,-45.8667,-67.5,9.92,40,0,3.09,AR,1685295191
149,bredasdorp,-34.5322,20.0403,14.15,85,42,3.54,ZA,1685295270
150,deniliquin,-35.5333,144.9667,8.1,93,32,2.68,AU,1685295270
151,choix,26.7092,-108.3219,33.81,22,66,3.65,MX,1685295271
152,klamath falls,42.2249,-121.7817,18.26,63,0,2.06,US,1685295271
153,inta,66.0317,60.1659,13.26,58,100,5.47,RU,1685295271
154,mildura,-34.2,142.15,12.26,92,17,4.07,AU,1685295271
155,talara,-4.5772,-81.2719,30.42,58,0,5.14,PE,1685295271
156,manhattan,40.7834,-73.9662,28.99,32,0,4.63,US,1685295271
157,port hedland,-20.3167,118.5667,15.03,31,52,4.63,AU,1685295271
158,dalvik,65.9702,-18.5286,11.96,91,100,5.22,IS,1685295271
159,narsaq,60.9167,-46.05,3.22,98,100,1.33,GL,1685295271
160,markova,48.6758,24.4138,12.58,91,47,2.15,UA,1685295271
161,batemans bay,-35.7167,150.1833,11.17,73,17,2.94,AU,1685295272
162,sioux lookout,50.1001,-91.917,26.04,25,20,4.12,CA,1685295272
163,high level,58.5169,-117.136,16.06,48,100,3.6,CA,1685295272
164,wilmington,34.2257,-77.9447,24.95,82,100,5.66,US,1685295070
165,mahebourg,-20.4081,57.7,24.16,83,40,7.2,MU,1685295272
166,tottori,35.5,134.2333,19.35,90,100,5.44,JP,1685295272
167,yicheng,31.3705,119.8703,24.78,88,82,0.29,CN,1685295272
168,barrow,71.2906,-156.7887,1.01,86,100,4.63,US,1685295139
169,severo-kurilsk,50.6789,156.125,6.51,89,100,3.45,RU,1685295272
170,bathsheba,13.2167,-59.5167,30.34,70,40,5.66,BB,1685295272
171,chaman,30.9236,66.4512,26.3,13,0,3.99,PK,1685295272
172,mount gambier,-37.8333,140.7667,13.04,68,80,4.89,AU,1685295273
173,namatanai,-3.6667,152.4333,26.46,81,99,0.66,PG,1685295273
174,adrar,20.5022,-10.0711,35.29,25,32,6.96,MR,1685295273
175,batagay,67.6333,134.6333,9.98,55,100,1.13,RU,1685295273
176,upernavik,72.7868,-56.1549,-3.11,68,99,3.51,GL,1685295273
177,hegang,47.4,130.3667,9.52,63,96,2.01,CN,1685295273
178,chokurdakh,70.6333,147.9167,0.85,89,100,8.53,RU,1685295273
179,rio brilhante,-21.8019,-54.5464,18.89,97,100,1.99,BR,1685295273
180,belmonte,-15.8631,-38.8828,25.97,71,80,1.92,BR,1685295274
181,souillac,-20.5167,57.5167,24.21,83,40,7.2,MU,1685295274
182,dawlatabad,36.4141,64.9053,25.83,14,83,2.14,AF,1685295274
183,erenhot,43.6475,111.9767,17.49,23,100,5.59,CN,1685295274
184,hualmay,-11.0964,-77.6139,23.59,71,98,3.84,PE,1685295274
185,berlevag,70.8578,29.0864,10.97,62,20,8.23,NO,1685295199
186,coihaique,-45.5752,-72.0662,5.97,65,0,2.57,CL,1685295146
187,provideniya,64.3833,-173.3,3.43,92,96,1.36,RU,1685295274
188,morehead,37.2711,-87.1764,20.99,56,100,3.09,US,1685295274
189,puro,12.4841,123.3827,28.38,81,100,7.11,PH,1685295274
190,karabash,55.4808,60.2157,23.0,47,98,1.95,RU,1685295274
191,baykit,61.67,96.37,7.54,70,59,1.46,RU,1685295274
192,tuatapere,-46.1333,167.6833,10.7,97,100,1.48,NZ,1685295275
193,ust-maya,60.4167,134.5333,3.99,87,90,0.77,RU,1685295275
194,evora,38.5667,-7.9,19.59,61,100,4.5,PT,1685295275
195,naze,28.3667,129.4833,22.51,92,43,2.89,JP,1685295275
196,sao filipe,14.8961,-24.4956,24.22,81,56,7.56,CV,1685295275
197,moron,-34.6534,-58.6198,14.42,49,0,0.52,AR,1685295275
198,columbus,39.9612,-82.9988,24.93,46,75,4.12,US,1685295275
199,sharlyk,52.9167,54.75,21.15,50,97,3.52,RU,1685295275
200,bobenheim-roxheim,49.5875,8.3578,26.0,37,0,4.12,DE,1685295250
201,saint-philippe,-21.3585,55.7679,23.77,94,92,4.1,RE,1685295275
202,chihuahua,28.5,-106.0,11.46,44,72,7.76,MX,1685295275
203,praia da vitoria,38.7333,-27.0667,19.14,77,75,3.15,PT,1685295276
204,vanimo,-2.6741,141.3028,27.61,80,61,3.52,PG,1685295276
205,kavieng,-2.5744,150.7967,27.83,77,100,3.86,PG,1685295276
206,roald,62.5833,6.1333,8.52,61,40,6.17,NO,1685295276
207,moree,-29.4667,149.85,7.02,67,41,2.09,AU,1685295276
208,muisne,0.6,-80.0333,27.42,82,89,4.61,EC,1685295276
209,beringovskiy,63.05,179.3167,3.79,77,96,2.2,RU,1685295276
210,nouadhibou,20.931,-17.0347,25.99,57,56,7.2,MR,1685295276
211,kartuzy,54.3342,18.1974,18.21,57,0,2.57,PL,1685295276
212,eenhana,-17.4667,16.3333,23.7,37,28,1.28,NA,1685295277
213,casablanca,33.5928,-7.6192,24.12,60,0,4.12,MA,1685295277
214,luan,46.3592,6.9759,23.35,79,12,2.0,CH,1685295277
215,freeport,40.6576,-73.5832,27.46,39,0,3.09,US,1685295277
216,cuiaba,-15.5961,-56.0967,32.96,43,40,3.6,BR,1685295277
217,guerrero negro,27.9769,-114.0611,19.13,60,80,7.29,MX,1685295277
218,bilma,18.6853,12.9164,33.96,11,64,4.88,NE,1685295277
219,tautira,-17.7333,-149.15,27.17,73,45,8.75,PF,1685295277
220,puerto escondido,15.85,-97.0667,33.46,66,40,3.6,MX,1685295277
221,shestakovo,56.4915,103.96,6.1,63,34,1.15,RU,1685295277
222,ca mau,9.1769,105.15,25.77,89,82,1.44,VN,1685295278
223,padang,-0.9492,100.3543,25.11,88,90,1.74,ID,1685295278
224,luis gil perez,17.8667,-93.05,30.98,30,19,1.88,MX,1685295278
225,ukiah,39.1502,-123.2078,26.35,63,0,0.0,US,1685295278
226,broome,42.2506,-75.833,29.27,36,0,2.06,US,1685295278
227,jiblah,13.9216,44.1467,19.62,70,79,2.88,YE,1685295278
228,gari,59.4307,62.3497,21.25,54,90,2.46,RU,1685295278
229,adlay,9.4097,125.8975,26.9,82,100,3.1,PH,1685295278
230,vila velha,-20.3297,-40.2925,27.97,70,20,4.12,BR,1685295014
231,georgetown,5.4112,100.3354,30.97,74,20,1.54,MY,1685295278
232,ngunguru,-35.6167,174.5,18.01,87,100,8.62,NZ,1685295278
233,show low,34.2542,-110.0298,22.27,15,0,4.63,US,1685295279
234,norman wells,65.282,-126.8329,9.02,76,75,5.66,CA,1685295279
235,dingle,10.9995,122.6711,25.92,85,100,3.23,PH,1685295279
236,fortuna,40.5982,-124.1573,13.7,95,100,0.0,US,1685295279
237,weston,26.1004,-80.3998,33.33,53,20,4.12,US,1685295279
238,shingu,33.7333,135.9833,20.83,89,97,1.83,JP,1685295279
239,marystown,47.1666,-55.1483,14.36,100,61,1.34,CA,1685295279
240,farragut,35.8845,-84.1535,17.9,83,100,2.06,US,1685295279
241,conceicao da barra,-18.5933,-39.7322,27.49,54,11,2.75,BR,1685295280
242,talnakh,69.4865,88.3972,7.34,86,84,5.5,RU,1685295280
243,banda aceh,5.5577,95.3222,27.24,76,76,6.73,ID,1685295280
244,pinhao,-25.6956,-51.6597,15.29,95,100,2.77,BR,1685295280
245,vasai,19.47,72.8,31.05,75,0,3.04,IN,1685295280
246,abu dhabi,24.4667,54.3667,34.01,33,0,2.57,AE,1685294548
247,capitan bado,-23.2667,-55.5333,18.95,97,100,1.36,PY,1685295280
248,kruisfontein,-34.0033,24.7314,15.49,83,0,3.8,ZA,1685295280
249,zhuanghe,39.7008,122.9911,17.17,92,97,1.19,CN,1685295280
250,nicoya,10.1483,-85.452,31.85,54,78,1.06,CR,1685295280
251,college,64.8569,-147.8028,14.49,53,75,2.57,US,1685295280
252,uyuni,-20.4597,-66.825,7.71,42,89,3.83,BO,1685295280
253,sandwick,60.0,-1.25,9.9,76,75,5.14,GB,1685295281
254,avarua,-21.2078,-159.775,25.03,94,40,4.63,CK,1685295281
255,ahuimanu,21.4447,-157.8378,24.55,78,0,2.06,US,1685295281
256,amazar,53.858,120.875,5.44,55,100,0.38,RU,1685295205
257,hambantota,6.1241,81.1185,27.15,85,61,6.26,LK,1685295281
258,lerwick,60.1545,-1.1494,10.0,68,100,5.94,GB,1685295231
259,codrington,-38.2667,141.9667,11.11,83,87,5.11,AU,1685295281
260,gezing,47.9178,13.1299,21.14,37,20,4.12,AT,1685295281
261,halle,51.5,12.0,23.11,28,0,3.09,DE,1685295027
262,arlit,18.7369,7.3853,37.63,8,68,3.46,NE,1685295282
263,nikolayevsk-na-amure,53.1406,140.73,1.98,96,100,1.69,RU,1685295282
264,duku,11.2361,4.9073,34.8,36,73,3.92,NG,1685295282
265,pando,-34.7167,-55.95,15.05,55,40,4.12,UY,1685295282
266,mount isa,-20.7333,139.5,9.87,53,63,3.6,AU,1685295282
267,bharatpur,27.2167,77.4833,29.78,41,94,3.69,IN,1685295282
268,sarangani,5.4033,125.4636,27.91,81,100,6.21,PH,1685295282
269,saint-nazaire,47.2833,-2.2,26.15,44,0,5.14,FR,1685295282
270,portobelo,9.55,-79.65,26.07,83,100,2.39,PA,1685295282
271,atambua,-9.1061,124.8925,20.03,89,21,2.43,ID,1685295282
272,kunda,25.7167,81.5167,34.28,29,23,2.75,IN,1685295283
273,vanavara,60.34,102.2797,7.9,65,81,1.54,RU,1685295283
274,necochea,-38.5473,-58.7368,11.12,45,57,4.93,AR,1685295283
275,smithers,54.7804,-127.1743,13.18,58,75,2.57,CA,1685295283
276,kloulklubed,7.0419,134.2556,24.28,75,93,7.29,PW,1685295283
277,ambon,-3.6954,128.1814,27.71,88,40,3.09,ID,1685295283
278,anapskaya,44.89,37.38,20.13,83,0,4.0,RU,1685295283
279,karlstad,59.3793,13.5036,17.31,31,0,3.09,SE,1685295241
280,annau,37.8876,58.516,29.72,17,0,2.06,TM,1685295283
281,vostok,46.4856,135.8833,4.33,90,6,1.18,RU,1685295283
282,bejar,40.3864,-5.7634,15.88,88,97,2.65,ES,1685295284
283,mukilteo,47.9445,-122.3046,15.05,74,100,4.12,US,1685295284
284,faanui,-16.4833,-151.75,28.09,73,9,9.73,PF,1685295284
285,cawayan,9.9718,122.6249,28.51,81,99,7.42,PH,1685295284
286,podor,16.6527,-14.9587,43.97,25,0,1.03,MR,1685295284
287,maniwaki,46.3834,-75.966,29.21,24,31,1.54,CA,1685295278
288,berbera,10.4396,45.0143,33.16,61,55,5.63,SO,1685295284
289,ilorin,8.5,4.55,24.9,93,69,4.35,NG,1685295284
290,evensk,61.95,159.2333,6.17,61,11,3.58,RU,1685295284
291,tiznit,29.5833,-9.5,18.12,54,32,5.51,MA,1685295164
292,tura,25.5198,90.2201,23.25,70,3,1.63,IN,1685295284
293,hovd,48.0056,91.6419,14.52,36,98,1.93,MN,1685295285
294,rocha,-34.4833,-54.3333,13.83,50,59,3.47,UY,1685295285
295,kasongo-lunda,-6.4667,16.8167,26.23,65,29,0.79,CD,1685295285
296,thinadhoo,0.5333,72.9333,28.76,74,66,3.97,MV,1685295285
297,wenling,28.3669,121.36,22.83,97,52,1.86,CN,1685295115
298,mweka,-4.85,21.5667,23.83,61,100,0.51,CD,1685295285
299,aykhal,66.0,111.5,7.73,75,100,2.62,RU,1685295285
300,grand-santi,4.25,-54.3833,29.84,72,51,0.82,GF,1685295285
301,aitape,-3.1374,142.3475,27.08,81,100,1.68,PG,1685295285
302,isangel,-19.55,169.2667,22.83,74,5,0.95,VU,1685295285
303,saldanha,-33.0117,17.9442,13.03,88,0,7.91,ZA,1685295263
304,kieta,-6.2167,155.6333,25.95,86,98,0.86,PG,1685295285
305,bacolod,10.6667,122.95,28.35,79,100,8.3,PH,1685295286
306,ballina,-28.8667,153.5667,9.88,60,93,2.39,AU,1685295286
307,muhos,64.808,25.9931,11.88,87,89,2.7,FI,1685295286
308,paka,4.6374,103.4368,25.96,94,87,1.03,MY,1685295286
309,marawi,7.9986,124.2928,21.23,94,100,2.77,PH,1685295286
310,meulaboh,4.1363,96.1285,23.78,92,96,2.11,ID,1685295286
311,dunedin,-45.8742,170.5036,11.56,76,93,4.02,NZ,1685295286
312,jinka,5.65,36.65,18.44,70,41,3.11,ET,1685295286
313,canico,32.6333,-16.85,22.35,68,40,8.75,PT,1685295286
314,pathanamthitta,9.2667,76.7833,25.65,93,100,1.35,IN,1685295286
315,geraldton,-28.7667,114.6,13.23,62,100,1.54,AU,1685295287
316,surt,31.2089,16.5887,21.16,71,0,3.79,LY,1685295287
317,hasaki,35.7333,140.8333,20.12,85,100,3.81,JP,1685295287
318,waingapu,-9.6567,120.2641,23.01,87,33,4.72,ID,1685295287
319,morgan city,29.6994,-91.2068,30.0,57,0,2.06,US,1685295287
320,olafsvik,64.8945,-23.7142,7.47,96,100,8.61,IS,1685295287
321,kulhudhuffushi,6.6221,73.07,29.35,75,97,7.64,MV,1685295287
322,port hardy,50.6996,-127.4199,15.0,76,40,4.12,CA,1685295287
323,nome,64.5011,-165.4064,10.09,76,100,1.54,US,1685295287
324,bassila,9.0081,1.6654,29.12,63,51,2.55,BJ,1685295287
325,arica,-18.475,-70.3042,21.75,64,75,3.09,CL,1685295287
326,galle,6.0367,80.217,27.79,84,55,4.61,LK,1685295165
327,warrnambool,-38.3833,142.4833,10.77,86,99,3.15,AU,1685295288
328,san borja,-14.8167,-66.85,23.22,98,99,2.03,BO,1685295288
329,mentougou,39.9392,116.0917,19.52,65,100,0.94,CN,1685295288
330,lorengau,-2.0226,147.2712,27.99,80,100,4.68,PG,1685295288
331,meridian,43.6121,-116.3915,22.51,52,0,3.09,US,1685295288
332,tateyama,34.9833,139.8667,21.16,90,100,7.28,JP,1685295288
333,bull savanna,17.8868,-77.5902,28.55,70,91,5.57,JM,1685295288
334,svetlogorsk,52.6333,29.7333,10.99,65,0,2.59,BY,1685295288
335,cidreira,-30.1811,-50.2056,16.85,62,100,3.07,BR,1685295289
336,arroio grande,-32.2375,-53.0869,14.88,53,77,3.0,BR,1685295289
337,touros,-5.1989,-35.4608,29.0,68,14,6.49,BR,1685295289
338,baiyin,36.5583,104.2081,17.13,49,96,1.39,CN,1685295289
339,tumpat,6.1978,102.171,25.99,94,20,0.51,MY,1685295289
340,saint-marc,19.1082,-72.6938,29.73,66,100,3.23,HT,1685295289
341,khorramshahr,30.4397,48.1664,37.98,14,0,4.12,IR,1685295135
342,almirante tamandare,-25.3247,-49.31,15.33,96,100,3.6,BR,1685295289
343,faya,18.3851,42.4509,17.29,53,91,1.51,SA,1685295289
344,zyryanka,65.75,150.85,9.18,76,100,7.68,RU,1685295243
345,sabang,5.8933,95.3214,29.02,73,72,10.49,ID,1685295290
346,manaure,11.7751,-72.4445,32.04,58,83,7.65,CO,1685295290
347,half moon bay,37.4636,-122.4286,18.79,83,75,5.14,US,1685295290
348,shimoda,34.6667,138.95,20.61,97,100,4.87,JP,1685295290
349,joshimath,30.5667,79.5667,14.49,56,27,3.21,IN,1685295290
350,santa maria,-29.6842,-53.8069,15.61,63,20,4.63,BR,1685295290
351,canto do buriti,-8.11,-42.9444,35.77,28,28,4.01,BR,1685295290
352,fukue,32.6881,128.8419,21.38,97,69,6.11,JP,1685295290
353,goderich,43.7501,-81.7165,20.18,32,54,4.12,CA,1685295290
354,axim,4.8699,-2.2405,26.83,84,58,2.9,GH,1685295290
355,xichang,27.8964,102.2634,20.35,51,4,1.18,CN,1685295290
356,naryshkino,52.9678,35.7268,10.25,66,5,2.3,RU,1685295291
357,maxixe,-23.8597,35.3472,20.7,82,3,3.43,MZ,1685295291
358,rongcheng,30.634,117.8517,25.28,93,72,1.07,CN,1685295291
359,dano,11.15,-3.0667,37.85,25,100,2.7,BF,1685295291
360,port hawkesbury,45.6169,-61.3485,30.51,26,0,9.77,CA,1685295291
361,westport,41.1415,-73.3579,28.66,39,0,4.63,US,1685295291
362,mayo,38.8876,-76.5119,23.4,65,100,4.02,US,1685295291
363,halifax,44.6453,-63.5724,32.05,40,2,8.23,CA,1685295271
364,richmond,37.5538,-77.4603,18.93,87,100,6.69,US,1685295083
365,utete,-7.986,38.758,22.78,89,96,1.67,TZ,1685295291
366,garowe,8.4054,48.4845,29.77,43,98,6.53,SO,1685295079
367,roma,43.2128,-75.4557,27.51,33,0,4.12,US,1685294688
368,egvekinot,66.3167,-179.1667,-0.96,74,42,1.57,RU,1685295292
369,houma,29.5958,-90.7195,30.0,56,14,2.68,US,1685295292
370,urumqi,43.801,87.6005,11.53,71,20,8.0,CN,1685295292
